ID,HEADWORD,POS,ENGLISH,JAPANESE,SPANISH,INDONESIAN,EXAMPLE (KO),EXAMPLE (EN),EXAMPLE (JA),EXAMPLE (ES),EXAMPLE (ID),
837,죽다,VERB,to die,死ぬ,morir,meninggal dunia ,담배를 계속 피우면 젊은 나이에 죽을지도 몰라.,Keep smoking and you'll probably die young.,タバコをずっと吸えば若い年で死ぬかも知れない。,Si sigues fumando te puedes morir joven.,Teruslah merokok dan mungkin anda akan mati muda.,
838,죽음,NOUN,death,死,muerte,kematian,한국에서는 빨간색이 죽음을 의미해.,"In Korea, red means death.",韓国では赤色が死を意味する。,"En Corea, el rojo significa muerte.",Di Korea warna merah melambangkan kematian,
839,준비 | 준비하다,NOUN | VERB,preparation | to prepare,準備 | 準備する,preparación; preparar,persiapan; mempersiapkan,내가 특별히 준비할 거 있어?,Is there anything special that I should prepare?,私が特別に準備することある?,¿Hay algo en especial para que yo prepare?,Adakah sesuatu yang khusus yang harus saya persiapkan?,
840,줄이다,VERB,"to reduce, to decrease",減らす,"reducir, descontar, decrecer",mengurangi,"무엇보다도, 스트레스를 줄이는 것이 중요합니다.","First of all, it is important to reduce your stress.","なによりも, ストレスを減らすのが重要です。","Primero de todo, es importante reducir la tensión.","Pertama-tama, sangatlah penting untuk mengurangi stress anda.",
841,중,NOUN,during; among,中,"durante, entre ",selama; antar,수업 중에 떠들지 마라.,Don't chat during class.,授業中に騷ぐな。,No charlar durante clase.,Jangan mengobrol selama pelajaran berlangsung,
842,중국,NOUN,China,中国,China,Cina,중국에서는 물건 값이 굉장히 싸요. ,Things in China are so cheap.,中国では品物の値打ちがとても安いです。 ,Las cosas en China son tan baratas.,Barang-barang di Cina sangat murah,
843,중국어,NOUN,Chinese language,中国語,lenguaje chino,bahasa Cina,요즘 한국에는 중국어를 공부하는 사람들이 많다.,A lot of people are studying Chinese in Korea these days.,このごろ韓国には中国語を勉強する人々が多い。,Actualmente hay muchas personas están estudiando el leguaje chino en Corea.,Banyak orang belajar bahasa cina akhir-akhir ini,
844,중심,NOUN,center,中心,centro,tengah,우리 집은 서울 중심에 있다.,My house is located in the center of Seoul.,我家はソウルの中心にある。,Mi casa está situada en el centro de Seul.,Rumah saya terletak di tengah kota Seoul.,
845,중요하다,ADJ,to be important,重要だ,importante,penting ,독도가 중요한 섬인가요?,Is Dokdo an important island?,竹島とは重要な島ですか?,¿Es Dokdo una isla importante?,Apakah Dokdo pulau yang penting? ,
846,중학교,NOUN,junior high school,中学校,secundaria,Sekolah Menengah Pertama (SMP),우리 엄마는 중학교 미술 선생님이야.,My mom teaches art at a junior high school.,うちのママは中学校の美術の先生だ。,Mi mamá es profesora de arte en el colegio secundario.,Ibu saya mengajar Seni di SMP.,
847,중학생,NOUN,junior high school student,中学生,estudiante secundario,siswa SMP,많은 중학생들이 담배를 피우나요?,Do many junior high school students smoke?,多くの中学生がタバコを吸っていますか?,¿Muchos estudiantes secundarios fuman?,Apakah banyak siswa SMP merokok?,
848,즐겁다,ADJ,"to be pleasant, to be happy",楽しい,"divertido, feliz","bersenang-senag, bergembira",어린이날은 아이들에게 일 년 중 가장 즐거운 시기이다.,Children's day is one of the happiest times in a year for children.,子供の日は子供達にとって一年中で一番楽しい時期だ。,El Día de los Niños es uno de los días más felices del año para los niños.,Hari anak adalah salah satu waktu yang paling memebahagiakan bagi anak-anak dalam satu tahun.,
849,즐기다,VERB,to enjoy,"楽しむ, 好む",disfrutar,menikmati,어떤 음식을 즐겨 먹어요? ,What kind of food do you enjoy?,どんな料理を好んで食べますか? ,¿Qué clase de alimentos disfruta comer?,Makanan papayang anda nikmati?,
850,지갑,NOUN,wallet,財布,"carpeta, billetera",dompet,돈을 지갑에 넣어 다니세요?,Do you carry your money in a wallet?,お金を財布に入れて歩きますか?,¿Lleva dinero en su billetera?,Apakah anda membawa uang dalam dompet anda? ,
851,지금,"NOUN, ADV",now,今,ahora,sekarang,지금 어디 계세요?,Where are you now?,今どこにいらっしゃいますか?,¿Dónde estás ahora?,Dimana anda sekarang?,
852,지나가다,VERB,to pass (by) ,"通り過ぎる, 通過する",pasar,melewati,이 버스가 플라자 호텔 지나가나요?,Does this bus pass by the Plaza Hotel?,このバスはプラザホテルを通過しますか?,¿Este autobús pasa por el Hotel Plaza?,Apakah bis ini melewati hotel Plaza?,
853,지나다,VERB,"to pass, to go by","通り過ぎる, 経つ","pasar, fluir",melalui,시간이 지나면 다 잊힐 거야.,All will be forgotten as time goes by.,時間が経てばすべて忘れるだろう。,Si el tiempo pasa todo será olvidado.,Semua akan terlupakan sejalannya waktu,
854,지나치다,ADJ,to be excessive,度が過ぎる,"demasiado, abundante",berlebihan,장난이 지나치시네요.,Your pranks have gone too far.,いたずらの度が少し過ぎるではありませんか。,Sus bromas han ido demasiado lejos.,Leluconmu sangat berlebihan.,
855,지난달,NOUN,last month,先月,mes pasado,bulan lalu,이 노래 지난달에 나왔어.,This song was released last month.,この歌先月に出たの。,Esta canción salió el mes pasado.,Lagu ini dirilis bulan lalu,
856,지난주,NOUN,last week,先週,semana pasada,minggu lalu,우리 지난주에 얘기하지 않았나요?,Didn't we talk just last week?,私たち先週話しませんでしたっけ?,¿No hablamos la semana pasada?,Bukankah kita baru bicara minggu lalu?,
857,지난해,NOUN,last year,去年,año pasado,tahun lalu,회사가 지난해 망했어. ,The company went bankrupt last year.,会社が去年つぶれたの。 ,La compañía fracasó el año pasado.,Perusahaan itu menjadi bankrupt tahun lalu. ,
858,지내다,VERB,to spend one's time,"過ごす, 暮らす ",pasar,menghabiskan waktu seseorang,휴가 어떻게 지냈어? ,How did you spend your vacation?,休暇どう過ごした? ,¿Cómo pasastes tus vacaciones?,Bagaimana anda menghabiskan liburan anda?,
859,지도,NOUN,map,地図,mapa,peta,지도를 보면서 알려드릴게요.,I'll show you on the map.,地図を見ながらお教えしましょう。,Le enseñaré viendo el mapa.,Akan saya tunjukkan padamu dipeta,
860,지우개,NOUN,eraser,消しゴム,borrador,penghapus,책상 위에서 연필과 지우개 외에는 모두 치우세요.,Clear everything off your desk except for your pencils and erasers.,机の上に鉛筆と消しゴム以外は皆片付けてください。,Despejar todo del escritorio a excepción del lápiz y el borrador.,Singkirkan semua yang ada dimeja kecuali pensil anda  dan penghapus. ,
861,지우다,VERB,"to delete, to remove",消す,borrar,membersihkan,화장은 하는 것보다 지우는 것이 더 중요하다.,Removing makeup is more important than putting it on.,化粧はするより消すのがもっと重要だ。,Es más importante borrar el maquillaje en vez de maquillarte.,Membersihkan make-up lebih penting dari pada memakainya.,
862,지키다,VERB,"to keep, to protect",守る,"cumplir, protejer","menepati, menjaga, melindungi","너 약속 지키는 거, 난 한 번도 못 봤어. ",I've never seen you keep any promises.,"お前が約束守るの, 私は一度も見たことが無い。 ",Nunca te pude ver que cumplieras una promesa.,Saya tidak pernah melihat anda menepati janji. ,
863,지하,NOUN,"underground, basement",地下,"sótano, subsuelo","bawah tanah, landasan",가게들은 지하에 있습니다.,Shops are in the basement.,店街は地下にあります。,Las tiendas están en el sótano.,Toko-toko itu ada di bawah tanah.,
864,지하철,NOUN,subway,地下鉄,subterráneo,kereta bawah tanah,지하철에서 지갑을 잃어버렸어.,I lost my wallet on the subway.,地下鉄で財布をなくしてしまったの。,Perdí mi billetera en el subterráneo.,Saya kehilangan dompet saya di kereta bawah tanah.,
865,직접,"NOUN, ADV","in person, directly",直接,"directamente, personalmetne",langsung,직접 얘기해 보시지 그래요? ,Why don't you talk to him directly?,直接話して見たらどうですか? ,¿Por qué no hablas con él directamente?,Mengapa anda tidak bicarakan langsung dengannya?,
866,질문 | 질문하다,NOUN | VERB,question | to ask,質問 | 質問する,pregunta; preguntar,pertanyaan; bertanya,나 그런 질문 싫어하는 거 알잖아. ,You know I hate that question.,私そういう質問嫌いなの分かってるでしょ。 ,Sabes que no me gusta esa pregunta.,Anda tahu saya tidak suka pertanyaan itu,
867,집,NOUN,"home, house",家,casa,rumah,집까지 태워다 줄게. ,I'll drive you home.,家まで乗せてってあげる。 ,Te llevaré hasta tu casa.,Saya akan mengantar anda pulang kerumah.,
868,짜다,ADJ,to be salty,塩辛い,salado,asin,이 생선 엄청 짜네.,This fish tastes pretty salty.,この魚すごく塩辛いのね。,Este pescado esta muy salado.,Ikan ini terasa cukup asin.,
869,짧다,ADJ,to be short,短い,corto,pendek,걔는 짧은 머리에 안경을 썼어.,She has short hair and wears glasses.,その子は短い髪にめがねをかけている。,Ella tiene pelo corto y usa anteojos.,Dia berambut pendek dan memakai kacamata ,
870,쪽,NOUN,"side, direction, way","方, 側",dirección,"sebelah, arah",어느 쪽이 남쪽이야?,Which way is south?,どっちが南側なの?,¿En qué dirección está el sur?,Dimana arah selatan?,
871,찌개,NOUN,stew,チゲ,"guisado, sopa","rebusan, masakan hospot",찌개는 식으면 맛이 없어.,Stew doesn't taste good when it is cold.,チゲは冷えたらまずくなる。,El guisado no es rico cuando se pone frío.,Masakan yang direbus terasa tidak enak ketika sudah dingin.,
872,찍다,VERB,"to stamp, to imprint","押す, (写真を)とる","estampar, sellar","menyetempel, mencap",여기에 도장을 찍으세요.,Stamp your seal here.,ここにはんこを押してください。,Estampar tu sello aquí.,Stempel cap anda disini. ,
873,차 ,NOUN,tea,茶,té,teh,커피? 아니면 차?,Coffee? Or tea?,コーヒー? それともお茶?,¿Café? O ¿té?,Kopi?atau teh?,
874,차 ,NOUN,car,車,"coche, automóvil",mobil,당장 차 세워!,Pull the car over right now!,今すぐ車を止めろ!,¡Para ya el coche!,Tarik mobil itu sekarang juga! ,
875,차례,NOUN,order; turn,"順番, 番","orden, turno",urutan; giliran,"차례를 지키면, 곧 니 차례가 올 거야.","If you keep in order, it will soon be your turn.","順番を守れば, お前の番がすぐ来る。","Si mantienes el orden, pronto será tu turno.","Jika anda mematuhi aturan, akan cepat sampai pada giliran anda.",
876,참,ADV,"really, truly","まったく, ほんとうに","realmente, honestametne","benar-benar, sungguh-sungguh",거 참 이상하네.,That's really strange.,まったく変だね。,Eso es realmente extraño.,Sangat aneh.,
877,참다,VERB,"to stand, to endure","我慢する, 堪える","no aguantar, no permitir","menahan, bertahan",나 너무 불안해서 참을 수가 없어. ,I am so nervous I barely stand it.,私とても不安で堪えることができない。 ,Estoy tan nervioso que no lo puedo aguantar.,Saya sangat gelisah Sya hampir menahannya. ,
878,창문,NOUN,window,窓,ventana,jendela,실례지만 제가 창문 쪽 자리인 것 같은데요. ,"Excuse me, but I think I have the window seat.",失礼ですが私が窓側の席のようですよ。 ,"Disculpe, pero me parece que el asiento de la ventana me pertence.","Permisi, tetapi saya rasa tempat duduk saya dekat jendela",
879,찾다,VERB,"to find; to look for, to search",探す; 見つける,encontrar,menemukan; mencari,그만 찾아도 돼. 내가 찾았어!,Stop searching. I found it!,もう探さなくてもいいよ。 私が見つけた!,Para de buscar. Yo lo encontré.,Berhenti mencari. Saya menemukannya.,
880,찾아보다,VERB,"to look for, to search",探してみる,buscar,mencari,잘 찾아봐라.,Search thoroughly.,よく探してごらん。,Busca bien a fondo.,Carilah secara keseluruhan.,
881,채소,NOUN,vegetable,野菜,vegetal,sayuran,채소에 소금을 뿌려라.,Sprinkle salt on the vegetables.,野菜に塩を振り掛けなさい。,Rocear la sal en los vegetales.,Taburkan garam pada sayur-sayuran.,
882,책,NOUN,book,本,libro,buku,책 빌려줘서 고마워.,Thank you for lending me the book.,本貸してくれありがとう。,Gracias por prestarme el libro.,Terima kasih telah meminjami saya buku.,
883,책상,NOUN,desk,机,escritorio,meja,선생님 책상에 개구리를 넣은 사람은 나야.,I put a frog in my teacher's desk.,先生の机に蛙を入れた人は僕だ。,Yo soy quien puso la rana en el escritorio de la profesora.,Saya meletakkan kodok dimeja guru,
884,책임,NOUN,"duty, responsibility",責任,responsabilidad,"tugas, kewajiban",제가 개인적으로 책임을 지겠습니다. ,I'll take personal responsibility for it.,私が個人的に責任を負います。 ,Yo personalmente asumiré la responsabilidad.,Saya akan berkewaajiban sepenuhnya untuk itu. ,
885,처음,"NOUN, ADV",beginning; first,初め (て),"comienzo, primer",permulaan; pertama,이번에 중국 처음 가는 거니? ,Is it your first trip to China?,今回中国初めて? ,¿Es tu primer viaje a China?,Apakah ini perjalanan pertama anda ke Cina?,
886,천천히,ADV,slowly,ゆっくり,"despacio, lento",perlahan-lahan,좀 더 천천히 말씀해 주세요.,"Speak a little more slowly, please.",もうちょっとゆっくりおっしゃってください。,"Podría hablar un poco más lento, por favor.",Tolong bicara sedikit  lebih pelan.,
887,청바지,NOUN,jeans,ジーパン,pantalones vaqueros,celana jeans,저 청바지 요즘 엄청 유행이야. ,Those jeans are all the rage these days.,あのジーパンこのごろすごく流行だ。 ,Estos días los vaqueros no están de moda.,Jeans-jeans itu semuanya belel akhir-akhir ini. ,
888,청소 | 청소하다,NOUN | VERB,cleaning | to clean,掃除 | 掃除する,"limpiar, ordenar",pembersihan; membersihkan,아직도 혼자 집을 청소하세요?,Do you still clean your house by yourself?,未だに一人で家を掃除してますか?,¿Sigue limpiando solo la casa?, Apakah anda masih membersihkan sendiri rumah anda?,
889,초,NOUN,second,秒,segundo,kedua,100미터를 몇 초에 뛰세요? ,How many seconds does it take you to run 100 meters?,100メートルを何秒で走れますか? ,¿En cuántos segundos corre 100 metros?,Berapa detik waktu yang anda butuhkan untuk berlari 100(seratus) meter?,
890,초대 | 초대하다,NOUN | VERB,invitation | to invite,招待 | 招待する,invitación; invitar,undangan; mengundang,그 애는 나를 자기 생일 파티에 초대하지 않았다.,She didn't invite me to her birthday party.,あの子は私を自分の誕生日パーティーに招待しなかった。,Ella no me invitó a su fiesta de cumpleaños.,Dia tidak mengundang saya ke pesta ulang tahunnya.,
891,초등학교,NOUN,elementary school,小学校,escuela primaria, Sekolah dasar (SD),1996년 이전에는 한국에서는 초등학교를 국민학교라고 불렀다.,"Elementary school was called national school"" before 1996 in Korea.""""lementary school was called ""national """"ementary """,1996年以前には韓国では小学校を国民学校と呼んだ。,En Corea la “escuela primaria” fue llamada “escuela nacional” antes de año 1996. ,“Sekolah dasar” disebut “Sekolah nasional” sebelum tahun 1996(seribu sembilan ratus sembilan puluh enam) di Korea.,
892,초콜릿,NOUN,chocolate,チョコレート,chocolate,coklat,아무도 밸런타인데이에 나한테 초콜릿을 안 줬어.,Nobody gave me chocolate on Valentine's day.,誰もバレンタインデーに僕にチョコレートをくれなかった。,Nadie me dio chocolates en el día de San Valentin.,Tak seorangpun memberi saya coklat di hari Valentine.,
893,최고,NOUN,"best, top",最高,el mejor,terbaik,내가 본 것 중 최고였어. ,It was the best I've ever seen.,私が見たのの中で最高だったの。 ,Era el mejor dentro de los que he visto.,Terbaik yang pernah saya lihat.,
894,축구,NOUN,soccer,サッカー,fútbol,sepak bola,여동생이 축구하는 걸 보고 있어.,I'm watching my sister play soccer.,妹がサッカーをするのを見ている。,Estoy mirando a mi hermana jugar fútbol.,Saya sedang melihat kakak perempuan saya bermain sepak bola.,
895,축하하다,VERB,to celebrate,祝う,"felicitar, celebrar",merayakan,축하합니다!,Congratulations!,おめでとうございます!,¡Felicitaciones!,Selamat!,
896,출발하다,VERB,"to leave, to depart",出発する,"salir, ir ",berangkat,아직도 출발 안 했어? ,Haven't you left yet?,まだ出発してなかったの? ,¿No te has ido todavía?,Sudahkah anda berangkat? ,
897,춤 | 추다,NOUN | VERB,dance | to dance,踊り | 踊る,baile; bailar,dansa; berdansa,밤새도록 춤을 췄어요. ,I danced the entire night through.,一晩中踊りました。 ,Bailé toda la noche entera.,Saya berdansa semalam suntuk. ,
898,춥다,ADJ,"to be cold, to be chilly",寒い,"frío, helado",dingin,오늘 날씨 정말 춥다! ,"Oh, it's very cold today!",今日の天気は本当に寒い! ,¡Hoy el dia esta muy frio!,"Oh, hari ini sangat dingin!",
899,취미,NOUN,hobby,趣味,"manía, pasatiempos","hobi, kegemaran",낚시는 제 유일한 취미예요.,Fishing is my only hobby.,釣りは私の唯一の趣味です。,La pesca es mi unica manía.,Memancing adalah satu-satunya hobi saya ,
900,취하다,VERB,to be drunk,酔う,borracho,mabuk,저 조금 취한 것 같아요.,I think I'm a little bit drunk.,私少し酔ったようです。,Pienso que me he emborrachado un poco.,Saya rasa saya sedikit mabuk.,
901,층,NOUN,"story, floor",階,piso,"tingkat, lantai",몇 층 가세요?,Which floor do you want?,何階に行かれますか?,¿A qué piso va?,Lantai berapa yang anda inginkan? ,
902,치다,VERB,to hit,"打つ, 叩く",golpear,memukul,내 친구 녀석이 화가 나 내 얼굴을 쳤다.,My friend was so angry that he hit me in the face.,僕の友達のやつがカッとなって僕の顔を叩いた。,Mi amigo estaba tan enojado que él me golpeó en la cara.,Teman saya sangat marah sehingga dia memukul wajah saya.,
903,치마,NOUN,skirt,スカート,falda,rok,이 새로 산 치마 어때? ,What do you think of my new skirt?,この新らしく買ったスカートどう? ,¿Qué piensas acerca de mi nueva falda?,Bagaimana menurut anda tentang rok baru saya?,
904,치약,NOUN,toothpaste,歯磨き粉,crema dental ,pasta gigi,치약을 중간부터 짜지 마라.,Don't squeeze the toothpaste in the middle.,歯磨き粉を真ん中から絞らないで。,No exprimir la crema dental desde el medio.,Janganmenekan pasta gigi di tengah. ,
905,친구,NOUN,friend,友達,amigos,teman,우리는 그냥 친구일까? 아니면 연인일까?,Are we just friends? Or lovers?,私たちは只の友達だろうか? それとも恋人だろうか?,¿Seremos solo amigos o amantes?,Apakah kita hanya teman?atau pacar?,
906,친절하다,ADJ,"to be kind, to be friendly",親切だ,"amistoso, generoso","baik, ramah",그녀는 못생겼지만 정말 친절하다.,She is ugly but very friendly.,彼女はブスだが本当に親切だ。,Ella es fea pero es muy generosa.,Dia tidak cantik tetapi sangat ramah.,
907,칠판,NOUN,blackboard,黒板,"tablero, pizarra",papan tulis,칠판에 써 볼 사람? ,Who can write it on the board?,黒板に書いて見たい人? ,¿Quién quiere escribir en el tablero?,Siapa yang bisa menuliskan di papan tulis?,
908,침대,NOUN,bed,ベッド,cama,tempat tidur,많은 한국인들이 여전히 침대에서 자는 것을 좋아하지 않는다.,Many Koreans still don't like to sleep in beds.,多くの韓国人は相変らずベッドで寝ることを好まない。,A muchos coreanos todavía no les gusta dormir en la cama.,Masih banyak orang Korea tidak suka tidur ditempat tidur.,
909,칫솔,NOUN,toothbrush,歯ブラシ,cepillo dental,sikat gigi,니 칫솔을 썼더니 기분이 이상해.,I feel weird because I used your toothbrush.,お前の歯ブラシを使ったら変な気分になった。,Me siento extraño porque utilicé tu cepillo dental.,Saya merasa aneh memakai sikat gigi anda.,
910,칭찬 | 칭찬하다,NOUN | VERB,"praise, compliment | to praise",賞賛 | 褒める,elogio; elogiar,pujian,그는 칭찬을 받을 만하다.,He deserves a compliment.,彼は褒められる資格がある。,Él merece un elogio.,Dia pantas mendapat pujian.,
911,카드,NOUN,card,カード,"tarjeta, carta",kartu,신용카드가 때로는 교통카드 기능을 한다.,Sometimes credit cards can also function as a travel pass card.,クレジットカードが時には交通カードの機能をする。,Las tarjetas de crédito también funcionan como tarjeta de transporte.,Terkadang kartu kredit dapat juga berfungsi sebagai kartu pas jalan.  ,
912,카메라,NOUN,camera,カメラ,cámara fotográfica (digital),kamera,디지털 카메라에는 필름이 필요 없어요.,You don't need film with a digital camera.,デジタルカメラにはフィルムがいらないよ。,No necesitas rollo en una cámara fotográfica digital.,Anda tidak memerlukan film dengan kamera digital.,
913,칼,NOUN,knife,"刀, 包丁",cuchillo,pisau,이 수박 자르게 칼 좀 가져와라.,Get me a knife to slice this watermelon.,このすいか切るから包丁ちょっと持って来なさい。,Consígueme un cuchillo para rebanar esta sandía.,Ambilkan saya pisau untuk mengiris semangka ini.,
914,캐나다,NOUN,Canada,カナダ,Canadá,Kanada,캐나다의 수도가 어디죠?,What's the capital of Canada?,カナダの首都はどこですか?,¿Cuál es el capital de Canadá?,Apakah ibukota Kanada?,
915,커다랗다,ADJ,"to be big, to be large",大きい,"enorme, grande",besar,혜안의 눈은 정말 커다랗다.,Hyean's eyes are really big.,ヘアンの目は本当に大きい。,Los ojos de Hyean son realmente grandes.,Mata Hyean sangat besar.,
916,커피,NOUN,coffee,コーヒー,café ,kopi,커피를 마시면 밤에 잠이 안 와요.,I can't sleep at night if I drink coffee.,コーヒーを飲むと夜眠れません。,No puedo dormir en la noche si bebo café.,Saya tidak dapat tidur di malam hari kalau saya minum kopi.,
917,컴퓨터,NOUN,computer,コンピューター,computadora,komputer,컴퓨터가 또 고장 났네!,My computer is out of order again!,コンピューターがまた故障したな!,¡Mi computadora está fuera de servicio otra vez!,Komputer saya rusak lagi! ,
918,컵,NOUN,cup,コップ,"vaso, taza",cangkir,컵에 립스틱 자국이 남아 있었다.,There was a smudge of lipstick on the cup.,コップに口紅の跡が残っていた ,Había una mancha del lápiz labial en la taza.,Ada bekas lipstick di cangkir.,
919,켜다,VERB,to turn on,つける,"prender, encender",menyalakan,불을 끄고 라디오를 켜라.,Turn off the light and turn on the radio.,電気を消してラジオをつけなさい。,Apaga la luz y prende la radio.,Matikan lampunya dan nyalakan radio.,
920,코,NOUN,nose,鼻,nariz,hidung,나는 감기에 걸리면 코로 숨을 못 쉰다.,I can't breath through my nose when I catch a cold.,私は風邪をひくと鼻で息をする事ができない。,No puedo respirar a través de mi nariz cuando cojo un frío.,Saya tidak dapat bertnapas melalui hidung ketika saya flu.,
921,콜라,NOUN,cola,コーラ,cola,kola,햄버거 두 개랑 콜라 주세요.,"Two hamburgers and one cola to go, please.",ハンバーガー二つとコーラください。,"Dos hamburguesas y una cola, por favor.",Dua hamburger dan satu kola dibungkus,
922,크기,NOUN,size,大きさ,tamaño,ukuran,글자 크기는 바꿀 수 있습니다. ,You can change the font size.,字の大きさは変えることができます。 ,Puedes cambiar el tamaño de la letra.,Anda dapat mengubah ukuran font.,
923,크다,"ADJ, VERB",to be big; to grow,成長する; 大きい,grande; crecer,menjadi besar;tumbuh,"우리 애가 벌써 커서, 이 옷이 맞지 않을 정도로 커졌다.","My child has grown up, so he is too big for these clothes.","うちの子がもう成長して, この服が合わないほどに大きくなった。",Mi niño ha crecido demasiado. Él es muy grande para estas ropas.,"Anak saya telah tumbuh, jadi dia terlali besar untuk pakaian-pakaian ini. ",
924,크리스마스,NOUN,Christmas,クリスマス,Navidad,natal,크리스마스에 뭐 갖고 싶어?,What would you like to have for Christmas?,クリスマスになんかほしい?,¿Qué quieres tener para Navidad?,Apa yang anda inginkan pada hari natal? ,
925,키,NOUN,height,背,estatura,tinggi badan,그 사람은 키가 크고 수염이 있어요.,He is tall and has a beard.,その人は背が高くてひげがあります。,Él tiene barba y su estatura es alta.,Dia tinggi dan mempunyai jambang,
926,키우다,VERB,"to raise, to bring up, to grow","育てる, 飼う",criar,"membesarkan, memelihara",나 고양이 키우고 싶어.,I want to raise a cat.,私猫飼いたい。,Deseo criar un gato.,Saya ingin memelihara kucing,
927,타다,VERB,"to take, to ride",乗る,"tomar, coger, agarrar","naik, menegendarai",오늘은 왜 택시를 탔어요?,Why did you take a taxi today?,今日はどうしてタクシーに乗りましたか?,¿Por qué cogiste un taxi hoy?,Mengapa anda naik taksi hari ini?,
928,태권도,NOUN,Taekwondo (Korean traditional martial art),テコンドー,Taekwondo,Taekwondo (seni bela-diri tradisional Korea),태권도를 했다니 안 믿어지는데.,I can't believe you learned Taekwondo.,テクォンドーをやってたなんて信じられないが。,No puedo creer que has aprendido Taekwondo.,Saya tidak percaya kamu belajar Taekwondo.,
929,태도,NOUN,attitude,態度,"actitud, carácter",sikap,나는 수업 태도가 좋지 않았어요.,I had a bad attitude in class.,私は授業態度が良くなかったです。,Tenía una mala actitud en clase.,Saya memiliki sikap buruk dikelas.,
930,태어나다,VERB,to be born,生まれる,nacer,lahir,저는 양의 해에 태어났어요.,I was born in the year of the sheep.,私は羊年に生まれたんです。,Nací en el año de las ovejas.,Saya lahir ditahun kambing.,
931,택시,NOUN,taxi,タクシー,taxi,taksi,저 택시는 왜 그냥 가는 거죠? ,Why did that taxi just take off like that?,あのタクシーは何故知らぬ振りして行くのでしょう? ,¿Por qué ese taxi  se fue de esa forma?,Mengapa taksi itu pergi begitu saja? ,
932,테니스,NOUN,tennis,テニス,tenis,tennis,나랑 테니스 칠래? ,You want to play tennis with me?,私とテニスしようか? ,¿Deseas jugar al tenis conmigo?,Anda  ingin bermain tennis dengan saya?,
933,테이블,NOUN,table,テーブル,"tabla, mesa",meja,바닥청소 하게 저 테이블 좀 옮겨줄래?,Can you move that table so I can sweep the floor?,底の掃除するからあのテーブルちょっと動かしてくれる?,"¿Puedes mover esa tabla, así puedo barrer el piso?",Dapatkah anda pindahkan meja itu jadi saya bisa menyapu?,
934,텔레비전,NOUN,television,テレビ,televisión,televisi,오늘 밤 텔레비전에서 뭐 해?,What's on television tonight?,今夜テレビで何やる?,¿Qué está en la televisión esta noche?,Apa acara televisi malam ini?,
935,특징,NOUN,"characteristic, feature",特徴,característica,ciri khas,큰 코가 그 사람 얼굴의 특징이야.,His big nose is the central feature of his face.,大きい鼻がその人顔の特徴だ。,Su nariz grande es la característica central de su cara.,Hidung besar adalah ciri khas wajahnya.,
936,특히,ADV,"especially, particularly",特に,"especialidad, particularidad","khususnya, terutama ",특히 마지막 노래가 좋았어. ,I especially loved the last song.,特に最後の歌が良かったの。 ,Especialmente me gustó la última canción.,Saya terutama suka lagu terakhir.,
937,팀,NOUN,team,チーム,"equipo, grupo",tim,내가 40점을 넣어서 우리 팀이 이겼어.,I scored 40 points and our team won the game.,私が40点を入れてうちのチームが勝ったの。,Anoté 40 puntos y nuestro equipo ganó el juego.,Saya mencetak 40 poin dan tim kita memenangkan pertandingan.,
938,파란색,NOUN,blue (color),青色,azul,biru (warna),머리를 파란색으로 염색했더니 엄마가 나를 내쫓았다.,I dyed my hair blue and my mom kicked me out.,頭を青に染めたら母が私を追い出した。,Teñí mi pelo azul y mi mamá me echó de casa.,Saya mewarnai rambut saya biru lalu ibu saya mengusir saya.,
939,파티,NOUN,party,パーティー,fiesta,pesta,파티에 같이 갈래요?,Would you like to come along to the party?,パーティーへ一緒に行きますか?,¿Quieres venir a la fiesta?,Apakah anda ingin ikut serta ke pesta?,
940,팔,NOUN,arm,腕,brazo,lengan,팔을 못 움직이겠어요.,I can't move my arm now.,腕を動かす事ができません。,Ahora no puedo mover el brazo.,Saya tidak bisa menggerakkan tangan saya sekarang,
941,팔다,VERB,to sell,売る,vender,menjual,한국의 약국에서는 약만 팔아요.,Korean drugstores only sell medicine.,韓国の薬局では薬しか売ってません。,Las farmacias coreanas venden solamente medicina.,Apotek di Korea hanya menjual obat-obatan.,
942,퍼센트,NOUN,percent,パーセント,porcentaje,persen,저는 백 퍼센트 이길 자신이 있어요.,I am 100 percent confident of winning.,私は百パーセント勝つ自信があります。,Estoy cien porciento seguro que voy a ganar.,Saya 100(seratus) persen yakin menang.,
943,펴다,VERB,"to unfold, to spread, to open","開く, 敷く, (傘を)差す","abrir, desplegar",membuka,비 온다. 우산 펴.,It's raining. Open the umbrella.,雨降ってる。 傘を差せ。,Está lloviendo. Abre el paraguas.,Ini hujan. Bukalah payungnya.,
944,편지,NOUN,letter,手紙,carta,surat,이 편지를 우체통에 넣어야 하거든요. ,I have to put this letter in a mailbox.,この手紙をポストに入れなければならないんですよ。 ,Es que tengo que enviar esta carta por correo.,Saya harus meletakkan surat ini di kotak pos. ,
945,포도,NOUN,grape,ぶどう,uva,anggur,포도가 너무 시어.,The grapes are too sour.,ぶどうがとても酸っぱい。,Las uvas son demasiadas amargas.,Anggur ini terlalu asam.,
